"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"TE_RUUVILIITIN2";"TE_RUUVILIITIN2";"X1";"";"";
"1";"0R-DNP";"RES0603";"R0603";"R8";"";"";
"1";"10";"RES0603";"R0603";"R7";"";"";
"2";"100";"RES0603";"R0603";"R42, R47";"";"";
"11";"100n";"CAP0603";"C0603";"C3, C7, C11, C12, C13, C14, C15, C16, C18, C19, C49";"";"";
"5";"10n";"CAP0603";"C0603";"C4, C5, C8, C10, C47";"";"";
"3";"10u 25V 1206";"CAP1206";"C1206";"C1, C2, C6";"";"";
"1";"121 1206";"RES1206";"R1206";"R58";"";"";
"1";"1A";"RES1206";"R1206";"F1";"";"";
"1";"20k0";"RES0603";"R0603";"R2";"";"";
"2";"22p";"CAP0603";"C0603";"C23, C24";"";"";
"1";"25MHz";"XTAL_3225_SMD";"X_3225";"G1";"CRYSTAL CLOCK OSCILLATORS";"";
"1";"27nH";"RES0603";"R0603";"L3";"";"";
"2";"2N7002K";"2N7002K";"SOT23";"V3, V5";"";"";
"11";"2k00";"RES0603";"R0603";"R3, R11, R12, R13, R16, R18, R19, R20, R27, R30, R59";"";"";
"1";"2u2";"CAP0603";"C0603";"C17";"";"";
"1";"2u2 50V 0805";"CAP0805";"C0805";"C53";"";"";
"1";"4.7UF 10V X5R 0805";"CAP0805";"C0805";"C9";"";"";
"4";"499";"RES0603";"R0603";"R6, R22, R23, R26";"";"";
"5";"5k90 1206";"RES1206";"R1206";"R4, R5, R14, R15, R35";"";"";
"1";"61k9";"RES0603";"R0603";"R1";"";"";
"5";"825";"RES0603";"R0603";"R9, R10, R17, R21, R36";"";"";
"1";"AO4803A";"AO4803A";"SOIC8-N_MC";"V2";"";"";
"1";"DAFUG";"DAFUG";"DAFUG";"U$5";"";"";
"1";"ESDA19SC6";"ESDAXXSC6";"SOT23-6";"V27";"";"";
"3";"GRN";"LEDCHIP-LED0603";"CHIP-LED0603";"H1, H3, H4";"LED";"";
"1";"IND0603";"IND0603";"R0603";"L2";"";"";
"1";"LM75BD";"LM75BD";"SOIC8-N_MC";"D3";"";"";
"1";"M24C32-RDW6TP";"M24C32-RDW6TP";"TSSOP8-66";"D5";"";"";
"1";"MAX3430_SA";"MAX3088_SA";"SOIC8-N_MC";"D2";"";"";
"1";"MPT0.5/8-2.54";"MPT0.5/8-2.54";"MPT0.5/8-2.54";"X2";"";"";
"1";"PIIKKIRIMA-3";"PIIKKIRIMA-3";"PIIKKIRIMA-3";"X3";"";"";
"1";"PIIKKIRIMA-5";"PIIKKIRIMA-5";"PIIKKIRIMA-5";"X5";"";"";
"4";"PTH2.6-5.5SQ";"PTH2.6-5.5SQ";"PTH-2.6-5.5SQ";"Y1, Y2, Y3, Y4";"";"";
"1";"RED";"LEDCHIP-LED0603";"CHIP-LED0603";"H2";"LED";"";
"1";"RT9818C-29GV";"RT9818C-29GV";"SOT23";"D10";"";"";
"1";"S25FL116K";"S25FL116K";"SOIC8-N_MC";"D4";"";"";
"2";"SK34A";"SK34A";"DO214AC";"V8, V10";"";"";
"1";"SM712";"SM712";"SOT23";"V23";"";"";
"1";"SMAJ20A";"SMAJXXA";"DO214AC";"V16";"";"";
"1";"SRN6045-100M";"SRN6045-100M";"SRN6045";"L1";"";"";
"1";"STM32F410RB";"STM32F410RB";"LQFP-64";"D1";"";"";
"1";"TPS560200DBV";"TPS560200DBV";"SOT95P280X145-5N";"N1";"";"";
"1";"U.FL-R-SMT-1";"U.FL-R-SMT-1";"U.FL-R-SMT-1";"X4";"";"";
"1";"UBLOX-NEO6";"UBLOX-NEO6";"UBLOX-NEO6";"A1";"";"";
